,Data
0,Switzerland_Western Europe_7.587
1,Iceland_Western Europe_7.561
2,Denmark_Western Europe_7.527
3,Norway_Western Europe_7.522
4,Canada_North America_7.427
5,Finland_Western Europe_7.406
6,Netherlands_Western Europe_7.378
7,Sweden_Western Europe_7.364
8,New Zealand_Australia and New Zealand_7.286
9,Australia_Australia and New Zealand_7.284
10,Israel_Middle East and Northern Africa_7.278
11,Costa Rica_Latin America and Caribbean_7.226
12,Austria_Western Europe_7.2
13,Mexico_Latin America and Caribbean_7.187
14,United States_North America_7.119
15,Brazil_Latin America and Caribbean_6.983
16,Luxembourg_Western Europe_6.946
17,Ireland_Western Europe_6.94
18,Belgium_Western Europe_6.937
19,United Arab Emirates_Middle East and Northern Africa_6.901
20,United Kingdom_Western Europe_6.867
21,Oman_Middle East and Northern Africa_6.853
22,Venezuela_Latin America and Caribbean_6.81
23,Singapore_Southeastern Asia_6.798
24,Panama_Latin America and Caribbean_6.786
25,Germany_Western Europe_6.75
26,Chile_Latin America and Caribbean_6.67
27,Qatar_Middle East and Northern Africa_6.611
28,France_Western Europe_6.575
29,Argentina_Latin America and Caribbean_6.574
30,Czech Republic_Central and Eastern Europe_6.505
31,Uruguay_Latin America and Caribbean_6.485
32,Colombia_Latin America and Caribbean_6.477
33,Thailand_Southeastern Asia_6.455
34,Saudi Arabia_Middle East and Northern Africa_6.411
35,Spain_Western Europe_6.329
36,Malta_Western Europe_6.302
37,Taiwan_Eastern Asia_6.298
38,Kuwait_Middle East and Northern Africa_6.295
39,Suriname_Latin America and Caribbean_6.269
40,Trinidad and Tobago_Latin America and Caribbean_6.168
41,El Salvador_Latin America and Caribbean_6.13
42,Guatemala_Latin America and Caribbean_6.123
43,Uzbekistan_Central and Eastern Europe_6.003
44,Slovakia_Central and Eastern Europe_5.995
45,Japan_Eastern Asia_5.987
46,South Korea_Eastern Asia_5.984
47,Ecuador_Latin America and Caribbean_5.975
48,Bahrain_Middle East and Northern Africa_5.96
49,Italy_Western Europe_5.948
50,Bolivia_Latin America and Caribbean_5.89
51,Moldova_Central and Eastern Europe_5.889
52,Paraguay_Latin America and Caribbean_5.878
53,Kazakhstan_Central and Eastern Europe_5.855
54,Slovenia_Central and Eastern Europe_5.848
55,Lithuania_Central and Eastern Europe_5.833
56,Nicaragua_Latin America and Caribbean_5.828
57,Peru_Latin America and Caribbean_5.824
58,Belarus_Central and Eastern Europe_5.813
59,Poland_Central and Eastern Europe_5.791
60,Malaysia_Southeastern Asia_5.77
61,Croatia_Central and Eastern Europe_5.759
62,Libya_Middle East and Northern Africa_5.754
63,Russia_Central and Eastern Europe_5.716
64,Jamaica_Latin America and Caribbean_5.709
65,North Cyprus_Western Europe_5.695
66,Cyprus_Western Europe_5.689
67,Algeria_Middle East and Northern Africa_5.605
68,Kosovo_Central and Eastern Europe_5.589
69,Turkmenistan_Central and Eastern Europe_5.548
70,Mauritius_Sub-Saharan Africa_5.477
71,Hong Kong_Eastern Asia_5.474
72,Estonia_Central and Eastern Europe_5.429
73,Indonesia_Southeastern Asia_5.399
74,Vietnam_Southeastern Asia_5.36
75,Turkey_Middle East and Northern Africa_5.332
76,Kyrgyzstan_Central and Eastern Europe_5.286
77,Nigeria_Sub-Saharan Africa_5.268
78,Bhutan_Southern Asia_5.253
79,Azerbaijan_Central and Eastern Europe_5.212
80,Pakistan_Southern Asia_5.194
81,Jordan_Middle East and Northern Africa_5.192
82,Montenegro_Central and Eastern Europe_5.192
83,China_Eastern Asia_5.14
84,Zambia_Sub-Saharan Africa_5.129
85,Romania_Central and Eastern Europe_5.124
86,Serbia_Central and Eastern Europe_5.123
87,Portugal_Western Europe_5.102
88,Latvia_Central and Eastern Europe_5.098
89,Philippines_Southeastern Asia_5.073
90,Somaliland region_Sub-Saharan Africa_5.057
91,Morocco_Middle East and Northern Africa_5.013
92,Macedonia_Central and Eastern Europe_5.007
93,Mozambique_Sub-Saharan Africa_4.971
94,Albania_Central and Eastern Europe_4.959
95,Bosnia and Herzegovina_Central and Eastern Europe_4.949
96,Lesotho_Sub-Saharan Africa_4.898
97,Dominican Republic_Latin America and Caribbean_4.885
98,Laos_Southeastern Asia_4.876
99,Mongolia_Eastern Asia_4.874
100,Swaziland_Sub-Saharan Africa_4.867
101,Greece_Western Europe_4.857
102,Lebanon_Middle East and Northern Africa_4.839
103,Hungary_Central and Eastern Europe_4.8
104,Honduras_Latin America and Caribbean_4.788
105,Tajikistan_Central and Eastern Europe_4.786
106,Tunisia_Middle East and Northern Africa_4.739
107,Palestinian Territories_Middle East and Northern Africa_4.715
108,Bangladesh_Southern Asia_4.694
109,Iran_Middle East and Northern Africa_4.686
110,Ukraine_Central and Eastern Europe_4.681
111,Iraq_Middle East and Northern Africa_4.677
112,South Africa_Sub-Saharan Africa_4.642
113,Ghana_Sub-Saharan Africa_4.633
114,Zimbabwe_Sub-Saharan Africa_4.61
115,Liberia_Sub-Saharan Africa_4.571
116,India_Southern Asia_4.565
117,Sudan_Sub-Saharan Africa_4.55
118,Haiti_Latin America and Caribbean_4.518
119,Congo (Kinshasa)_Sub-Saharan Africa_4.517
120,Nepal_Southern Asia_4.514
121,Ethiopia_Sub-Saharan Africa_4.512
122,Sierra Leone_Sub-Saharan Africa_4.507
123,Mauritania_Sub-Saharan Africa_4.436
124,Kenya_Sub-Saharan Africa_4.419
125,Djibouti_Sub-Saharan Africa_4.369
126,Armenia_Central and Eastern Europe_4.35
127,Botswana_Sub-Saharan Africa_4.332
128,Myanmar_Southeastern Asia_4.307
129,Georgia_Central and Eastern Europe_4.297
130,Malawi_Sub-Saharan Africa_4.292
131,Sri Lanka_Southern Asia_4.271
132,Cameroon_Sub-Saharan Africa_4.252
133,Bulgaria_Central and Eastern Europe_4.218
134,Egypt_Middle East and Northern Africa_4.194
135,Yemen_Middle East and Northern Africa_4.077
136,Angola_Sub-Saharan Africa_4.033
137,Mali_Sub-Saharan Africa_3.995
138,Congo (Brazzaville)_Sub-Saharan Africa_3.989
139,Comoros_Sub-Saharan Africa_3.956
140,Uganda_Sub-Saharan Africa_3.931
141,Senegal_Sub-Saharan Africa_3.904
142,Gabon_Sub-Saharan Africa_3.896
143,Niger_Sub-Saharan Africa_3.845
144,Cambodia_Southeastern Asia_3.819
145,Tanzania_Sub-Saharan Africa_3.781
146,Madagascar_Sub-Saharan Africa_3.681
147,Central African Republic_Sub-Saharan Africa_3.678
148,Chad_Sub-Saharan Africa_3.667
149,Guinea_Sub-Saharan Africa_3.656
150,Ivory Coast_Sub-Saharan Africa_3.655
151,Burkina Faso_Sub-Saharan Africa_3.587
152,Afghanistan_Southern Asia_3.575
153,Rwanda_Sub-Saharan Africa_3.465
154,Benin_Sub-Saharan Africa_3.34
155,Syria_Middle East and Northern Africa_3.006
156,Burundi_Sub-Saharan Africa_2.905
157,Togo_Sub-Saharan Africa_2.839
